variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
ah_slope_heating,"(2,)",Heating slope of QF calculation.,"`AHSlope_Heating_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahslope-heating-wd>`_, `AHSlope_Heating_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahslope-heating-we>`_",2: Weekday and Weekend
alt,0,Used for both the radiation and water flow between grids.,`Alt <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-alt>`_,Scalar
timezone,0,Time zone [h] for site relative to UTC (east is positive). This should be set according to the times given in the meteorological forcing file(s).,`Timezone <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-timezone>`_,Scalar
ahprof_24hr,"(24, 2)",Hourly profile values used in energy use calculation.,"`EnergyUseProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-energyuseprofwd>`_, `EnergyUseProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-energyuseprofwe>`_",24: hours of a day; 2: Weekday and Weekend
albmax_evetr,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomax>`_,Scalar
g6,0,Related to soil moisture dependence [|mm^-1|],`G6 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g6>`_,Scalar
snowlimbuild,0,Limit of the snow water equivalent for snow removal from roads and roofs [mm],`SnowLimRemove <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowlimremove>`_,Scalar
irrfracdecid,0,Fraction of deciduous trees that are irrigated [-],`IrrFr_DecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-irrfr-dectr>`_,Scalar
albmin_grass,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomin>`_,Scalar
ef_umolco2perj,0,Emission factor for fuels used for building heating.,`EF_umolCO2perJ <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ef-umolco2perj>`_,Scalar
trafficunits,0,Units for the traffic rate for the study area. Not used in v2018a.,`TrafficUnits <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-trafficunits>`_,Scalar
min_res_bioco2,"(3,)",Minimum soil respiration rate (for cold-temperature limit) [umol |m^-2| |s^-1|].,`min_respi <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-min-respi>`_,3: See variable description for specifics
chanohm,"(7,)",Bulk transfer coefficient for this surface to use in AnOHM [-],`AnOHM_Ch <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-anohm-ch>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
raincover,0,Limit when surface totally covered with water for LUMPS [mm],`LUMPS_Cover <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lumps-cover>`_,Scalar
statelimit,"(7,)",Upper limit to the surface state. [mm],`StateLimit <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-statelimit>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
kkanohm,"(7,)",Thermal conductivity for this surface to use in AnOHM [W m |K^-1|],`AnOHM_Kk <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-anohm-kk>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
qf_c,"(2,)",Parameter related to heating degree days.,"`QF_C_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-c-wd>`_, `QF_C_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-c-we>`_",2: Weekday and Weekend
crwmin,0,Minimum water holding capacity of snow [mm],`CRWMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-crwmin>`_,Scalar
pipecapacity,0,Storage capacity of pipes [mm],`PipeCapacity <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-pipecapacity>`_,Scalar
alpha_enh_bioco2,"(3,)",Part of the `alpha` coeﬃcient related to the fraction of vegetation.,`alpha_enh <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-alpha-enh>`_,3: See variable description for specifics
storedrainprm,"(6, 7)",Coefficients used in drainage calculation.,"`DrainageCoef1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-drainagecoef1>`_, `DrainageCoef2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-drainagecoef2>`_, `DrainageEq <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-drainageeq>`_, `StorageMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-storagemax>`_, `StorageMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-storagemin>`_","6: See variable description for specifics; 7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
snowlimpaved,0,Limit of the snow water equivalent for snow removal from roads and roofs [mm],`SnowLimRemove <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowlimremove>`_,Scalar
kmax,0,Maximum incoming shortwave radiation [W |m^-2|],`Kmax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-kmax>`_,Scalar
narp_emis_snow,0,Effective surface emissivity.,`Emissivity <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-emissivity>`_,Scalar
soilstorecap,"(7,)",Limit value for `SoilDepth` [mm],`SoilStoreCap <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-soilstorecap>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
capmax_dec,0,Maximum water storage capacity for upper surfaces (i.e. canopy),`StorageMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-storagemax>`_,Scalar
emis,"(7,)",Effective surface emissivity.,`Emissivity <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-emissivity>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
daywatper,"(7,)",Fraction of properties using irrigation for each day of a week.,"`DayWatPer(1) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-1>`_, `DayWatPer(2) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-2>`_, `DayWatPer(3) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-3>`_, `DayWatPer(4) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-4>`_, `DayWatPer(5) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-5>`_, `DayWatPer(6) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-6>`_, `DayWatPer(7) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-7>`_",7: Seven days of a week: from Sunday to Saturday
t_critic_cooling,"(2,)",Critical cooling temperature.,"`TCritic_Cooling_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tcritic-cooling-wd>`_, `TCritic_Cooling_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tcritic-cooling-we>`_",2: Weekday and Weekend
wuprofm_24hr,"(24, 2)",Hourly profile values used in manual irrigation.,"`WaterUseProfManuWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofmanuwd>`_, `WaterUseProfManuWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofmanuwe>`_",24: hours of a day; 2: Weekday and Weekend
popdensnighttime,0,Night-time population density (i.e. residents) [people |ha^-1|],`PopDensNight <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-popdensnight>`_,Scalar
preciplimitalb,0,Limit for hourly precipitation when the ground is fully covered with snow. Then snow albedo is reset to AlbedoMax [mm],`PrecipLimAlb <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-preciplimalb>`_,Scalar
s1,0,A parameter related to soil moisture dependence [-],`S1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-s1>`_,Scalar
faut,0,Fraction of irrigated area that is irrigated using automated systems,`Faut <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-faut>`_,Scalar
capmin_dec,0,Minimum water storage capacity for upper surfaces (i.e. canopy).,`StorageMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-storagemin>`_,Scalar
minqfmetab,0,Minimum value for human heat emission. [W |m^-2|],`MinQFMetab <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-minqfmetab>`_,Scalar
startdls,0,Start of the day light savings [DOY],`StartDLS <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-startdls>`_,Scalar
basete,"(3,)",Base temperature for initiating sensesance degree days (SDD) for leaf off. [°C],`BaseTe <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-basete>`_,3: See variable description for specifics
cpanohm,"(7,)",Volumetric heat capacity for this surface to use in AnOHM [J |m^-3|],`AnOHM_Cp <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-anohm-cp>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
albmin_dectr,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomin>`_,Scalar
aerodynamicresistancemethod,0,Internal use. Please DO NOT modify,None,Scalar
diagnose,0,Internal use. Please DO NOT modify,None,Scalar
diagqn,0,Internal use. Please DO NOT modify,None,Scalar
diagqs,0,Internal use. Please DO NOT modify,None,Scalar
emissionsmethod,0,Determines method for QF calculation.,`EmissionsMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-emissionsmethod>`_,Scalar
evapmethod,0,Internal use. Please DO NOT modify,None,Scalar
laicalcyes,0,Internal use. Please DO NOT modify,None,Scalar
netradiationmethod,0,Determines method for calculation of radiation fluxes.,`NetRadiationMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-netradiationmethod>`_,Scalar
ohmincqf,0,Determines whether the storage heat flux calculation uses |Qstar| or ( |Qstar| +QF).,`OHMIncQF <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-ohmincqf>`_,Scalar
roughlenheatmethod,0,Determines method for calculating roughness length for heat.,`RoughLenHeatMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-roughlenheatmethod>`_,Scalar
roughlenmommethod,0,Determines how aerodynamic roughness length (z0m) and zero displacement height (zdm) are calculated.,`RoughLenMomMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-roughlenmommethod>`_,Scalar
smdmethod,0,Determines method for calculating soil moisture deficit (SMD).,`SMDMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-smdmethod>`_,Scalar
snowuse,0,Determines whether the snow part of the model runs.,`SnowUse <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-snowuse>`_,Scalar
stabilitymethod,0,Defines which atmospheric stability functions are used.,`StabilityMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-stabilitymethod>`_,Scalar
storageheatmethod,0,Determines method for calculating storage heat flux ΔQS.,`StorageHeatMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-storageheatmethod>`_,Scalar
tstep,0,Specifies the model time step [s].,`Tstep <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/Time_related_options.html#cmdoption-arg-tstep>`_,Scalar
veg_type,0,Internal use. Please DO NOT modify,None,Scalar
waterusemethod,0,Defines how external water use is calculated.,`WaterUseMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-waterusemethod>`_,Scalar
albdectr_id,0,Albedo of deciduous surface `DecTr` on day 0 of run,`albDecTr0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-albdectr0>`_,Scalar
albevetr_id,0,Albedo of evergreen surface `EveTr` on day 0 of run,`albEveTr0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-albevetr0>`_,Scalar
albgrass_id,0,Albedo of grass surface `Grass` on day 0 of run,`albGrass0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-albgrass0>`_,Scalar
decidcap_id,0,Storage capacity of deciduous surface `DecTr` on day 0 of run.,`decidCap0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-decidcap0>`_,Scalar
lai_id,"(3,)",Initial LAI values.,"`LAIinitialDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-laiinitialdectr>`_, `LAIinitialEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-laiinitialevetr>`_, `LAIinitialGrass <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-laiinitialgrass>`_",3: See variable description for specifics
porosity_id,0,Porosity of deciduous vegetation on day 0 of run.,`porosity0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-porosity0>`_,Scalar
snowalb,0,Initial snow albedo,`SnowAlb0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowalb0>`_,Scalar
snowdens,"(7,)",Initial snow density of each land cover.,"`SnowDensBldgs <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensbldgs>`_, `SnowDensPaved <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdenspaved>`_, `SnowDensDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensdectr>`_, `SnowDensEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensevetr>`_, `SnowDensGrass <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensgrass>`_, `SnowDensBSoil <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensbsoil>`_, `SnowDensWater <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdenswater>`_","7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
snowfrac,"(7,)",Initial plan area fraction of snow on each land cover`,"`SnowFracBldgs <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracbldgs>`_, `SnowFracPaved <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracpaved>`_, `SnowFracDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracdectr>`_, `SnowFracEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracevetr>`_, `SnowFracGrass <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracgrass>`_, `SnowFracBSoil <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracbsoil>`_, `SnowFracWater <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracwater>`_","7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
snowpack,"(7,)",Initial snow water equivalent on each land cover,"`SnowPackBldgs <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackbldgs>`_, `SnowPackPaved <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackpaved>`_, `SnowPackDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackdectr>`_, `SnowPackEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackevetr>`_, `SnowPackGrass <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackgrass>`_, `SnowPackBSoil <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackbsoil>`_, `SnowPackWater <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackwater>`_","7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
snowwater,"(7,)",Initial amount of liquid water in the snow on each land cover,"`SnowWaterBldgsState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterbldgsstate>`_, `SnowWaterPavedState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterpavedstate>`_, `SnowWaterDecTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterdectrstate>`_, `SnowWaterEveTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterevetrstate>`_, `SnowWaterGrassState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwatergrassstate>`_, `SnowWaterBSoilState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterbsoilstate>`_, `SnowWaterWaterState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterwaterstate>`_","7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
soilstore_id,"(7,)",Initial water stored in soil beneath each land cover,"`SoilstoreBldgsState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstorebldgsstate>`_, `SoilstorePavedState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstorepavedstate>`_, `SoilstoreDecTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstoredectrstate>`_, `SoilstoreEveTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstoreevetrstate>`_, `SoilstoreGrassState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstoregrassstate>`_, `SoilstoreBSoilState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstorebsoilstate>`_","7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
state_id,"(7,)",Initial wetness condition on each land cover,"`BldgsState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-bldgsstate>`_, `PavedState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-pavedstate>`_, `DecTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-dectrstate>`_, `EveTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-evetrstate>`_, `GrassState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-grassstate>`_, `BSoilState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-bsoilstate>`_, `WaterState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-waterstate>`_","7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
