,Dimensionality,Description,SUEWS-related variables
ohm_threshwd,"(8,)","Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-] If soil moisture (as a proportion of maximum soil moisture capacity) exceeds this threshold for bare soil and vegetated surfaces, OHM coefficients for wet conditions are applied; otherwise coefficients for dry coefficients are applied. Note that OHM coefficients for wet conditions are applied if the surface is wet. Not actually used for building and paved surfaces (as impervious). 
Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-] If soil moisture (as a proportion of maximum soil moisture capacity) exceeds this threshold for bare soil and vegetated surfaces, OHM coefficients for wet conditions are applied; otherwise coefficients for dry coefficients are applied. Note that OHM coefficients for wet conditions are applied if the surface is wet. Not actually used for Snow surface as winter wet conditions always assumed. 
Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-] If soil moisture (as a proportion of maximum soil moisture capacity) exceeds this threshold for bare soil and vegetated surfaces, OHM coefficients for wet conditions are applied; otherwise coefficients for dry coefficients are applied. Note that OHM coefficients for wet conditions are applied if the surface is wet. 
Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-] If soil moisture (as a proportion of maximum soil moisture capacity) exceeds this threshold for bare soil and vegetated surfaces, OHM coefficients for wet conditions are applied; otherwise coefficients for dry coefficients are applied. Note that OHM coefficients for wet conditions are applied if the surface is wet. Not actually used for water surface (as no soil surface beneath). ",OHMThresh_WD
ohm_coef,"(8, 4, 3)","Coefficient for Q* term [-]
Coefficient for dQ*/dt term [h]
Constant term [W |m^-2|]","a1, a2, a3"
sfr,"(7,)","Surface cover fraction of buildings [-]
Surface cover fraction of bare soil or unmanaged land [-]
Surface cover fraction of deciduous trees and shrubs [-]
Surface cover fraction of evergreen trees and shrubs [-]
Surface cover fraction of grass [-]
Surface cover fraction of paved surfaces [-].
Surface cover fraction of open water [-] (e.g. river, lakes, ponds, swimming pools) ","Fr_Bldgs, Fr_Bsoil, Fr_DecTr, Fr_EveTr, Fr_Grass, Fr_Paved, Fr_Water"
ie_start,0,Day when irrigation starts [DOY],Ie_start
t_critic_heating,"(2,)","Critical heating temperature on weekdays [°C]
Critical heating temperature on weekends [°C]","TCritic_Heating_WD, TCritic_Heating_WE"
rainmaxres,0,Maximum water bucket reservoir [mm] Used for LUMPS surface wetness control. Default recommended value of 10 mm from Loridan et al. (2011) [L2011]_ .,LUMPS_MaxRes
z0m_in,0,"Roughness length for momentum [m] Value supplied here is used if `RoughLenMomMethod` = 1 in `RunControl.nml` ; otherwise set to '-999' and a value will be calculated by the model (`RoughLenMomMethod` = 2, 3). ",z0
faievetree,0,Frontal area index for evergreen trees [-] Required if `RoughLenMomMethod` = 3 in `RunControl.nml` .,FAI_EveTr
ef_umolco2perj,0,Emission factor for fuels.,EF_umolCO2perJ
bldgh,0,Mean building height [m],H_Bldgs
cpanohm,"(7,)","Volumetric heat capacity for this surface to use in AnOHM [J |m^-3|]
Volumetric heat capacity for this surface to use in AnOHM [J |m^-3|]
Volumetric heat capacity for this surface to use in AnOHM [J |m^-3|]
Volumetric heat capacity for this surface to use in AnOHM [J |m^-3|]",AnOHM_Cp
roughlenheatmethod,0,,
laipower,"(4, 3)","Example values LAIEq 0.03 Järvi et al. (2011) [J11]_ 0 0.04 Järvi et al. (2014) [Leena2014]_ 1
Example values [|K^-1|] LAIEq 0.0005 Järvi et al. (2011) [J11]_ 0 0.001 Järvi et al. (2014) [Leena2014]_ 1
Example values LAIEq 0.03 Järvi et al. (2011) [J11]_ 0 -1.5 Järvi et al. (2014) [Leena2014]_ 1
Example values [|K^-1|] LAIEq 0.0005 Järvi et al. (2011) [J11]_ 0 0.0015 Järvi et al. (2014) [Leena2014]_ 1","LeafGrowthPower1, LeafGrowthPower2, LeafOffPower1, LeafOffPower2"
tair24hr,"(288,)",,
baset,"(3,)",See section 2.2 Järvi et al. (2011) [J11]_; Appendix A Järvi et al. (2014) [Leena2014]_. Example values [°C] 5 EveTr Järvi et al. (2011) [J11]_  5 DecTr Järvi et al. (2011) [J11]_  5 Grass Järvi et al. (2011) [J11]_ ,BaseT
irrfracconif,0,Fraction of evergreen trees that are irrigated [-] e.g. 50% of the evergreen trees/shrubs are irrigated,IrrFr_EveTr
basethdd,0,Base temperature for heating degree days [°C],BaseTHDD
crwmin,0,Minimum water holding capacity of snow [mm],CRWMin
snowalb,0,,
veg_type,0,,
zdm_in,0,"Zero-plane displacement [m] Value supplied here is used if `RoughLenMomMethod` = 1 in `RunControl.nml` ; otherwise set to '-999' and a value will be calculated by the model (`RoughLenMomMethod` = 2, 3). ",zd
gdd_id,"(5,)",,
hdd_id,"(12,)",,
porosity_id,0,,
dqnsdt,0,,
popdensnighttime,0,"Night-time population density (i.e. residents) [people ha -1 ] Population density is required if EmissionsMethod = 2 in `RunControl.nml` . The model will use the average of daytime and night-time population densities, unless only one is provided. If night-time population density is unknown, set to -999. ",PopDensNight
tstep,0,,
diagqs,0,,
